"08:41.306","Vedrfolnir casts  Liquid Heaven",""
"08:42.421","Ser Charibert 3 casts  Altar Flare on Ser Charibert 3",""
"08:42.466","Vedrfolnir casts  Liquid Heaven",""
"08:42.911","Ser Charibert 14 casts  Altar Flare",""
"08:43.626","Vedrfolnir casts  Liquid Heaven",""
"08:44.430","Ser Charibert 11 casts  Altar Flare",""
"08:45.810","Darkscale casts  Cauterize",""
"08:45.943","Ser Charibert 10 casts  Altar Flare",""
"08:46.033","Ser Grinnaux 3 casts  Empty Dimension",""
"08:47.458","Ser Charibert 12 casts  Altar Flare",""
"08:53.073","King Thordan 1 casts  Ancient Quaga",""
"08:57.484","King Thordan 1 casts  attack on Soft Enrage",""
"09:03.498","King Thordan 1 casts  Heavenly Heel on Soft Enrage",""
"09:06.623","King Thordan 1 casts  Ascalon's Might on Soft Enrage",""
"09:08.275","King Thordan 1 casts  Ascalon's Might on Soft Enrage",""
"09:09.929","King Thordan 1 casts  Ascalon's Might on Soft Enrage",""
"09:13.102","King Thordan 1 casts  unknown_63c4",""
"09:14.215","King Thordan 1 casts  Knights of the Round on King Thordan 1",""
"09:21.310","King Thordan 1 casts  Death of the Heavens on King Thordan 1",""
"09:28.274","Darkscale casts  Deathstorm",""
"09:36.497","Ser Guerrique casts  Heavy Impact",""
"09:38.063","King Thordan 1 casts  Lightning Storm on King Thordan 1",""
"09:38.376","Ser Zephirin 3 casts  Spear of the Fury",""
"09:38.376","Vedrfolnir casts  Twisting Dive",""
"09:38.376","Darkscale casts  Cauterize",""
"09:38.420","Ser Guerrique casts  Heavy Impact",""
"09:38.464","Ser Charibert 12 begins casting  Wings of Salvation  (9.70 sec)",""
"09:38.464","Ser Charibert 10 begins casting  Wings of Salvation  (9.70 sec)",""
"09:38.464","Ser Charibert 11 begins casting  Wings of Salvation  (9.70 sec)",""
"09:38.553","Ser Charibert 6 casts  Lightning Storm on Unit Rei",""
"09:38.555","King Thordan 10 casts  Lightning Storm on Watashia Kamidesu",""
"09:38.555","King Thordan 11 casts  Lightning Storm on Soft Enrage",""
"09:38.555","King Thordan 12 casts  Lightning Storm on Eazy Peazy",""
"09:38.555","King Thordan 9 casts  Lightning Storm on Alex Sarudani",""
"09:38.555","King Thordan 2 casts  Lightning Storm on Serena Nyx",""
"09:38.555","King Thordan 3 casts  Lightning Storm on Cleon Vortigern",""
"09:38.555","King Thordan 1 casts  Lightning Storm on Alexor Cy",""
"09:40.294","Ser Guerrique casts  Heavy Impact",""
"09:42.168","Ser Guerrique casts  Heavy Impact",""
"09:44.043","Ser Guerrique casts  Heavy Impact",""
"09:48.460","Vidofnir 1 casts  Wings of Salvation",""
"09:48.460","Vidofnir 2 casts  Wings of Salvation",""
"09:48.460","Vidofnir 3 casts  Wings of Salvation",""
"09:48.460","Vidofnir 4 casts  Wings of Salvation",""
"09:50.510","King Thordan 1 casts  the Dragon's Gaze on King Thordan 1",""
"09:51.628","Ser Grinnaux 3 casts  Faith Unmoving",""
"09:51.673","Ser Guerrique casts  the Dragon's Glory",""
"09:51.673","Vidofnir 4 casts  the Dragon's Gaze",""
"09:53.505","Ser Charibert 3 casts  Heavensflame on Ser Charibert 3",""
